family_id,date_start,date_end,aliases,role,status,evidence_grade,interest_score,summary,commits_or_state,report,priority
2026-05-21_latent_normal_modes,2026-05-21,2026-05-23,Programs AG/AH,capability|control,partial,E2,7,Continuous latent geometry scaled on TPU but randomized entropy ablations weakened mechanism specificity,aff39a4..bcd6ad8,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,reproduce AG serialization and ablations
2026-05-23_predictive_hydrodynamics,2026-05-23,2026-05-23,Programs AI/AJ,diagnostic,null,E2,6,AJ controller saturated at every horizon so experiment measured always-on control not forecast horizon,3faa8e0,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,retain as saturation control
2026-05-24_topology_filaments,2026-05-24,2026-05-26,Programs AK/AL/AM/AN,diagnostic,indeterminate,E1,5,Mostly live-only evidence with renamed code broken-looking recurrence metric and topology shuffles matching recovery,LIVE|b96555e|b91596d,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,preserve and validate raw artifacts
2026-05-26_folded_field,2026-05-26,2026-05-26,Program AO,control|diagnostic,complete_unverified,E1,6,Hard controls left only tiny folded-decoder lift and suggested geometric smoothing rather than topology inversion,0663c20,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,recover production JSON
2026-05-27_tunnel_eigen,2026-05-27,2026-05-29,Program AP-S/T/U,capability|control,partial,E2,9,Key locking explained calibration drift and fixed alpha outperformed unpromoted adaptive variants,5b1f8fb|b91596d,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,preserve stdout-derived raw evidence
2026-05-29_semantic_subspace,2026-05-29,2026-05-31,Program AQ 0/1/SEQ/IMG,pivot|diagnostic,partial,E2,9,Payload bug invalidated operator claims; corrected runs support only tiny predefined noise-free source/motif recovery,a580b96|b91596d,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,independent noisy vocabulary test
2026-06-01_yinyang_stream,2026-06-01,2026-06-05,AQ FFT|YINYANG|STREAM,diagnostic|capability,partial,E2,6,Separated codec ceilings transport loss pair errors and ordered-stream degradation,c016eb0..05ed17b,reports/2026-06_JUNE_AND_LIVE.md,manifest live STREAM artifacts
2026-06-05_so3_galerkin,2026-06-05,2026-06-08,Program AQ SO3,capability|diagnostic,complete_unverified,E3,9,Restricted numerical regime approached target slope while full regime hit float32 conditioning limits,dcf54b8..5de0613,reports/2026-06_JUNE_AND_LIVE.md,mathematical and precision audit
2026-06-07_chronos,2026-06-07,2026-06-15,CHRONOS 0b|Schumann|MERA strain,control|closeout,null,E4,9,Sequencing correction replication failure and time-shift controls favored hardware/extractor structure,50f14f5|ad5b914|bc154b2|LIVE,reports/2026-06_JUNE_AND_LIVE.md,commit MERA closeout
2026-06-09_temporal_gauge,2026-06-09,2026-06-17,temporal gauge 0b/0c,bridge|control,complete_unverified,E1,8,Corrected severing reportedly passed with shared telemetry but independence is unverified,LIVE,reports/2026-06_JUNE_AND_LIVE.md,audit telemetry provenance and rerun independent hosts
2026-06-15_page_wootters,2026-06-15,2026-06-17,Page-Wootters D-LinOSS,bridge|diagnostic,partial,E3,9,Clean synthetic relational alignment reproduced but noisy path observability and thresholds remain open,87c2501|LIVE,reports/2026-06_JUNE_AND_LIVE.md,leakage and preregistration audit
2026-06-20_trappist_dreams,2026-06-20,2026-06-21,TRAPPIST|DREAMS|WASP39b,pivot|diagnostic|closeout,partial,E3,10,Pipeline-stage correction invalidated sensitivity claims and moved work toward baselines and cadence design,f5dddef|829d029|0a3c89f|LIVE,reports/2026-06_JUNE_AND_LIVE.md,data provenance and extraction equivalence
2026-06-20_mps_capacity,2026-06-20,2026-06-21,MPS spectral capacity,control|capability,partial,E2,9,Run0 nearly passed recovery but failed mask control; live run1 favored MPS plus linear SSM over D-LinOSS,df331df..88adba7|LIVE,reports/2026-06_JUNE_AND_LIVE.md,commit and rerun run1
2026-06-21_glimpse_lrd,2026-06-21,2026-06-21,GLIMPSE17775|LRD variants,diagnostic|closeout,indeterminate,E1,5,Static spectrum lacks clock axis and controls; current evidence blocks physical-history promotion,LIVE,reports/2026-06_JUNE_AND_LIVE.md,obtain matched controls before modeling
